id,name,city,state,holes,access
1,Fireweed Meadows Golf Course,Anchor Point,AK,9,Public
2,Anchorage Golf Course,Anchorage,AK,18,Public
3,Russian Jack Springs Golf Course,Anchorage,AK,9,Municipal
4,Tanglewood Lakes Golf Club,Anchorage,AK,9,Public
5,Eagleglen Golf Course,Elmendorf Afb,AK,18,Public
6,Fairbanks Golf and Country Club,Fairbanks,AK,9,Public
7,North Star Golf Course,Fairbanks,AK,18,Public
8,Moose Run Golf Course,Fort Richardson,AK,36,Public
9,Chena Bend Golf Course,Fort Wainwright,AK,18,Public
10,Mount Fairweather Golf Course,Gustavus,AK,9,Public
11,Valley of the Eagles Golf Links,Haines,AK,9,Public
12,Black Diamond Golf Course,Healy,AK,9,Public
13,Kachemak Bay Links Par 3 Golf,Homer,AK,9,Public
14,Mendenhall Golf Course,Juneau,AK,9,Public
15,Kenai Golf Course,Kenai,AK,18,Public
16,Bear Valley Golf Course,Kodiak,AK,9,Public
17,Cottonwood Country Club,Nikiski,AK,9,Public
18,Palmer Golf Course,Palmer,AK,18,Municipal
19,Sea Mountain Golf Course,Sitka,AK,9,Public
20,Birch Ridge Golf Course Inc,Soldotna,AK,9,Public
21,Bird Homestead Golf Course,Soldotna,AK,9,Public
22,Settlers Bay Golf Course,Wasilla,AK,18,Public
23,Sleepy Hollow Golf Course,Wasilla,AK,9,Public
24,Muskeg Meadows Golf Course,Wrangell,AK,9,Public
25,Albertville Golf & Country Club,Albertville,AL,18,Private
26,Willow Brook Golf Corp,Albertville,AL,18,Public
27,Willow Point Golf & Country Club,Alexander City,AL,18,
28,Aliceville Country Club,Aliceville,AL,18,Private
29,Alpine Bay Resort,Alpine,AL,18,Public
30,Whippoorwill Golf Club,Altoona,AL,18,Public
31,Evans Barnes Golf Course,Andalusia,AL,18,Municipal
32,Andalusia Country Club,Andalusia,AL,18,Private
33,Old Pine Golf Course,Andalusia,AL,9,Public
34,Anniston Municipal Golf Course,Anniston,AL,9,Municipal
35,Cane Creek Golf Course,Anniston,AL,18,Municipal
36,Anniston Country Club,Anniston,AL,18,
37,Indian Oaks Golf Club,Anniston,AL,18,Public
38,Pine Hill Country Club,Anniston,AL,18,Public
39,Brookside Golf Course,Arab,AL,18,Public
40,Twin Lakes Golf Course,Arab,AL,18,Public
41,Clay County Golf Course,Ashland,AL,9,Public
42,Athens Golf & Country Club,Athens,AL,9,Public
43,Canebrake Golf Club,Athens,AL,19,Public
44,Chriswood Golf Course,Athens,AL,18,Public
